Name;Code;E;N;Z
STA 2+00;A1;475828.7781;9699484.013;6.181
STA 2+00;A2;475829.0135;9699483.008;6.502
STA 2+00;A3;475828.8917;9699482.169;6.485
STA 2+00;A4;475828.8028;9699481.337;6.358
STA 2+00;T1;475829.1008;9699480.655;6.075
STA 2+00;D1;475829.4389;9699480.041;5.232
STA 2+00;D2;475829.9485;9699478.785;4.964
STA 2+00;D3;475830.4577;9699477.588;5.269
STA 2+00;T2;475830.7958;9699476.973;6.067
STA 2+00;B1;475830.9602;9699476.109;6.072
STA 2+00;B2;475830.9074;9699475.397;6.035
STA 2+00;B3;475831.1023;9699474.466;6.08
STA 2+00;B4;475831.0026;9699473.465;6.067
STA 2+00;B;475830.8334;9699472.536;6.099
STA 2+50;A;475878.8157;9699488.088;6.137
STA 2+50;A1;475878.6671;9699487.342;6.173
STA 2+50;A2;475878.9025;9699486.338;6.493
STA 2+50;A3;475878.7807;9699485.498;6.478
STA 2+50;A4;475878.6918;9699484.666;6.359
STA 2+50;T1;475878.9898;9699483.985;6.086
STA 2+50;D1;475879.3279;9699483.371;5.224
STA 2+50;D2;475879.8375;9699482.115;4.965
STA 2+50;D3;475880.3467;9699480.918;5.261
STA 2+50;T2;475880.6849;9699480.303;6.062
STA 2+50;B1;475880.8492;9699479.438;6.076
STA 2+50;B2;475880.7964;9699478.727;6.038
STA 2+50;B3;475880.9913;9699477.795;6.076
STA 2+50;B4;475880.8916;9699476.794;6.064
STA 2+50;B;475880.7224;9699475.865;6.093
STA 3+00;A;475928.7047;9699491.418;6.13
STA 3+00;A1;475928.5561;9699490.672;6.165
STA 3+00;A2;475928.7915;9699489.668;6.484
STA 3+00;A3;475928.6697;9699488.828;6.47
STA 3+00;A4;475928.5808;9699487.996;6.359
STA 3+00;T1;475928.8788;9699487.314;6.096
STA 3+00;D1;475929.2169;9699486.701;5.217
STA 3+00;D2;475929.7265;9699485.444;4.967
STA 3+00;D3;475930.2357;9699484.247;5.252
STA 3+00;T2;475930.5739;9699483.633;6.056
STA 3+00;B1;475930.7382;9699482.768;6.081
STA 3+00;B2;475930.6854;9699482.056;6.042
STA 3+00;B3;475930.8803;9699481.125;6.072
STA 3+00;B4;475930.7806;9699480.124;6.061
STA 3+00;B;475930.6114;9699479.195;6.087
STA 3+50;A;475978.5937;9699494.748;6.122
STA 3+50;A1;475978.4452;9699494.002;6.156
STA 3+50;A2;475978.6805;9699492.997;6.475
STA 3+50;A3;475978.5587;9699492.157;6.463
